"","original_title","year","Genre","duration","votes"
"4767","The Dark Side of Midnight",1984,"Horror",108,123
"4768","Ernest in the Army",1998,"Family",85,2179
"4769","The Exotic House of Wax",1997,"Comedy",85,424
"4770","Charades",1998,"Drama",94,364
"4771","The Freeway Maniac",1989,"Horror",95,169
"4772","High Voltage",1997,"Action/Adventure",95,512
"4773","I Love You, Don't Touch Me!",1997,"Comedy",86,456
"4774","The Jar",1984,"Horror",85,253
"4775","Lolita 2000",1998,"Sci-Fi/Fantasy",83,430
"4776","The New Swiss Family Robinson",1998,"Action/Adventure",90,718
"4777","P.U.N.K.S.",1999,"Comedy",115,1299
"4778","Postmortem",1998,"Horror",105,1903
"4779","Samurai Cop",1991,"Action/Adventure",96,6795
"4780","Sweet Jane",1998,"Drama",83,524
"4781","Backwoods",1987,"Horror",85,301
"4782","Dead of Night",1988,"Action/Adventure",95,110
"4783","Dinosaur",2000,"Family",82,51947
"4784","T.N.T.",1997,"Action/Adventure",90,589
"4785","Two Idiots in Hollywood",1988,"Musical",85,102
"4786","Bowfinger",1999,"Comedy",97,65364
"4787","Dogs of Hell",1983,"Horror",89,252
"4788","Edtv",1999,"Comedy",122,41049
"4789","No Code of Conduct",1998,"Action/Adventure",90,1391
"4790","The Outfitters",1999,"Action/Adventure",92,103
"4791","Pep Squad",1998,"Comedy",94,390
"4792","Spin the Bottle",1998,"Comedy",83,455
"4793","Stir",1997,"Drama",92,141
"4794","BASEketball",1998,"Comedy",103,56087
"4795","Better Living",1998,"Comedy",95,127
"4796","Cannibal Hookers",1987,"Comedy",91,384
"4797","The First of May",1999,"Drama",111,415
"4798","The Florentine",1999,"Comedy",104,577
"4799","Flypaper",1999,"Comedy",108,649
"4800","Hi-Life",1998,"Comedy",82,588
"4801","Mystery Men",1999,"Action/Adventure",121,61124
"4802","October Sky",1999,"Drama",108,80542
"4803","At First Sight",1999,"Drama",128,12862
"4804","Stargames",1998,"Sci-Fi/Fantasy",90,291
"4805","BlackMale",2000,"Horror",90,351
"4806","David Searching",1997,"Drama",101,259
"4807","Erotic Boundaries",1997,"Drama",94,128
"4808","Teaching Mrs. Tingle",1999,"Comedy",96,19486
"4809","The Matrix",1999,"Action/Adventure",136,1632315
"4810","Naturally Native",1998,"Drama",107,141
"4811","New Rose Hotel",1998,"Drama",93,4400
"4812","Planet of the Apes",2001,"Action/Adventure",119,207951
"4813","SLC Punk!",1998,"Comedy",97,25474
"4814","Treasure Planet",2002,"Family",95,99484
"4815","Twister's Revenge!",1988,"Action/Adventure",90,275
"4816","24 Nights",1999,"Comedy",97,328
"4817","The Faculty",1998,"Horror",104,108775
"4818","Hairshirt",1998,"Comedy",89,608
"4819","The Siege",1998,"Action/Adventure",116,67420
"4820","Motel Blue",1997,"Horror",96,153
"4821","A Murder of Crows",1998,"Action/Adventure",102,7535
"4822","My Brother's War",1997,"Action/Adventure",84,173
"4823","The Rugrats Movie",1998,"Family",79,17831
"4824","Scream 3",2000,"Horror",116,121153
"4825","The Talented Mr. Ripley",1999,"Crime",139,178076
"4826","Ride with the Devil",1999,"Drama",138,12816
"4827","Twisted Nightmare",1987,"Horror",95,394
"4828","Butter",1998,"Action/Adventure",101,356
"4829","Detention",1998,"Drama",86,362
"4830","Duets",2000,"Comedy",112,9054
"4831","Existo",1999,"Comedy",94,206
"4832","Psycho Sisters",1998,"Horror",96,259
"4833","Soccer Dog: The Movie",1999,"Comedy",98,1540
"4834","Soundman",1998,"Comedy",105,243
"4835","Bug Buster",1998,"Comedy",93,844
"4836","Blind Faith",1998,"Drama",122,583
"4837","Implicated",1999,"Horror",91,258
"4838","Loser",1996,"Drama",80,154
"4839","Wind River",2000,"Drama",97,342
"4840","Angels in the Attic",1998,"Family",86,244
"4841","Seven Days of Grace",2006,"Comedy",88,101
"4842","Seasons of the Heart",1993,"Drama",99,182
"4843","Jerome",1998,"Drama",91,129
"4844","Mars",1997,"Action/Adventure",91,427
"4845","A Packing Suburbia",1999,"Crime",90,120
"4846","Road Kill",1999,"Action/Adventure",89,247
"4847","Welcome Says the Angel",1996,"Drama",82,160
"4848","200 Cigarettes",1999,"Comedy",101,14470
"4849","Arlington Road",1999,"Crime",117,80028
"4850","Billy's Hollywood Screen Kiss",1998,"Comedy",92,3598
"4851","Blood Bride",1982,"Drama",90,103
"4852","Cybernator",1991,"Action/Adventure",85,280
"4853","Extramarital",1998,"Drama",91,415
"4854","Ground Control",1998,"Action/Adventure",93,2270
"4855","If I Die Before I Wake",1998,"Crime",87,458
"4856","The Landlady",1998,"Horror",95,558
"4857","Monstrosity",1987,"Comedy",92,153
"4858","Raiders of the Living Dead",1986,"Horror",86,460
"4859","The Sender",1998,"Action/Adventure",98,713
"4860","Victims!",1985,"Horror",85,128
"4861","Wilbur Falls",1998,"Drama",95,177
"4862","The 24 Hour Woman",1999,"Comedy",93,379
"4863","Ambushed",1998,"Action/Adventure",109,608
"4864","The Astronaut's Wife",1999,"Drama",109,52235
"4865","Beretta's Island",1993,"Action/Adventure",97,375
"4866","Cement",2000,"Crime",97,411
"4867","Edge of Seventeen",1998,"Comedy",99,5603
"4868","Girl",1998,"Comedy",99,2656
"4869","Goosed",1999,"Comedy",95,365
"4870","Hit and Runway",1999,"Comedy",108,469
"4871","I Was a Zombie for the F.B.I.",1982,"Comedy",105,161
"4872","Idle Hands",1999,"Comedy",92,38978
"4873","If... Dog... Rabbit",1999,"Crime",108,484
"4874","Intolerable Cruelty",2003,"Comedy",100,89972
"4875","Man of the Century",1999,"Comedy",77,1163
"4876","Judas Kiss",1998,"Crime",98,3594
"4877","Phantasm IV: Oblivion",1998,"Sci-Fi/Fantasy",90,6638
"4878","Pi",1998,"Drama",84,167656
"4879","Pigeonholed",1999,"Comedy",88,111
"4880","The Road to El Dorado",2000,"Family",89,82217
"4881","Standing on Fishes",1999,"Comedy",89,120
"4882","Story of a Bad Boy",1999,"Comedy",85,262
"4883","Taxman",1998,"Action/Adventure",104,399
"4884","The Versace Murder",1998,"Crime",90,250
"4885","Waterproof",2000,"Drama",95,367
"4886","The Yards",2000,"Crime",115,19633
"4887","20 Dates",1998,"Drama",87,1657
"4888","Forty Days of Musa Dagh",1982,"Drama",143,216
"4889","Armstrong",1998,"Action/Adventure",99,397
"4890","Around the Fire",1998,"Drama",106,630
"4891","Cage II",1994,"Action/Adventure",106,290
"4892","Cherry",1999,"Comedy",90,299
"4893","The Color of Evening",1990,"Drama",90,160
"4894","Cruel Intentions",1999,"Drama",97,176314
"4895","Fashionably L.A.",1999,"Comedy",95,108
"4896","Floating",1997,"Drama",90,621
"4897","Go",1999,"Comedy",102,66142
"4898","High Art",1998,"Drama",101,9686
"4899","It Had to Be You",2000,"Comedy",96,1700
"4900","The Joyriders",1999,"Crime",100,395
"4901","Lake Placid",1999,"Action/Adventure",82,53857
"4902","Madam Savant",1997,"Drama",89,182
"4903","Message in a Bottle",1999,"Drama",126,35075
"4904","No Ordinary Love",1994,"Comedy",104,303
"4905","Slam",1998,"Drama",100,2203
"4906","There's No Fish Food in Heaven",1998,"Comedy",92,253
"4907","Too Tired to Die",1998,"Comedy",97,495
"4908","Training Day",2001,"Crime",122,381509
"4909","True Crime",1999,"Crime",127,31451
"4910","True Friends",1998,"Drama",103,176
"4911","Varsity Blues",1999,"Comedy",106,41256
"4912","Small Time",1996,"Comedy",96,216
"4913","Wrestling with Alligators",1998,"Drama",95,141
"4914","Bits and Pieces",1985,"Drama",85,110
"4915","Hellbent",1988,"Action/Adventure",88,151
"4916","Hitch Hike to Hell",1983,"Crime",87,322
"4917","In God's Hands",1998,"Action/Adventure",96,1095
"4918","The Insider",1999,"Drama",157,157061
"4919","Mumford",1999,"Comedy",112,8793
"4920","Prison Planet",1992,"Action/Adventure",90,286
"4921","The Suckling",1990,"Horror",89,814
"4922","Surrender Dorothy",1998,"Comedy",87,322
"4923","They Bite",1996,"Comedy",98,220
"4924","Tomorrow Night",1998,"Comedy",87,615
"4925","Forces of Nature",1999,"Comedy",105,31858
"4926","Free Enterprise",1998,"Comedy",113,3103
"4927","Jack Frost",1998,"Comedy",101,32089
"4928","The Ghost",2001,"Action/Adventure",86,323
"4929","Gideon",1998,"Comedy",102,1114
"4930","Hyperspace",1984,"Sci-Fi/Fantasy",90,204
"4931","Inspector Gadget",1999,"Action/Adventure",78,44636
"4932","The Man in the Iron Mask",1998,"Action/Adventure",85,213
"4933","Sorcerers",1998,"Family",100,295
"4934","Tales of the Third Dimension",1984,"Comedy",85,108
"4935","Town & Country",2001,"Comedy",104,4626
"4936","The WormKillers' Last Spring",1994,"Drama",90,1185
"4937","Black Spring Break: The Movie",1998,"Comedy",90,153
"4938","The Corruptor",1999,"Action/Adventure",110,17250
"4939","Down in the Delta",1998,"Drama",112,1607
"4940","Earth Minus Zero",1996,"Comedy",81,221
"4941","Big Daddy",1999,"Comedy",93,195700
"4942","I'm Losing You",1998,"Drama",100,417
"4943","Nobody Knows Anything!",2003,"Comedy",88,536
"4944","Meeting Daddy",2000,"Comedy",96,223
"4945","One",1997,"Drama",102,128
"4946","The All New Adventures of Laurel & Hardy in 'For Love or Mummy'",1999,"Comedy",85,422
"4947","Compelling Evidence",1995,"Horror",86,323
"4948","Friends & Lovers",1999,"Drama",103,1438
"4949","Knockout",2000,"Action/Adventure",99,165
"4950","Molly",1999,"Comedy",102,2667
"4951","Trapped Alive",1988,"Drama",92,310
"4952","Committed",2000,"Comedy",98,3601
"4953","Goremet, Zombie Chef from Hell",1986,"Comedy",67,273
"4954","In Quiet Night",1998,"Drama",100,169
"4955","Ivory Tower",1998,"Drama",96,109
"4956","Mom's Outta Sight",1998,"Comedy",93,106
"4957","Nutty Professor II: The Klumps",2000,"Comedy",106,47646
"4958","Outside Ozona",1998,"Comedy",100,871
"4959","Ozone: The Attack of the Redneck Mutants",1986,"Horror",93,187
"4960","The Pass",1998,"Horror",88,312
"4961","Puddle Cruiser",1996,"Comedy",102,2465
"4962","Shadrach",1998,"Drama",88,1107
"4963","Tequila Body Shots",1999,"Comedy",97,322
"4964","Wildflowers",1999,"Drama",93,469
"4965","The Rage: Carrie 2",1999,"Horror",104,15304
"4966","Error in Judgment",1999,"Horror",90,155
"4967","Possums",1998,"Comedy",97,271
"4968","The Schedule",1997,"Sci-Fi/Fantasy",104,122
"4969","Shotgun",1989,"Action/Adventure",84,239
"4970","Spider-Man",2002,"Action/Adventure",121,675212
"4971","Susan's Plan",1998,"Comedy",89,1665
"4972","Time Chasers",1994,"Sci-Fi/Fantasy",89,3041
"4973","Undercurrent",1998,"Horror",94,167
"4974","Austin Powers: The Spy Who Shagged Me",1999,"Action/Adventure",95,213536
"4975","Playing by Heart",1998,"Comedy",121,18400
"4976","Heaven Sent",1994,"Drama",91,207
"4977","Repligator",1998,"Action/Adventure",86,213
"4978","Shooting Vegetarians",2005,"Comedy",76,126
"4979","Thirteen Days",2000,"Drama",145,53099
"4980","The Adventures of Ragtime",1998,"Comedy",96,106
"4981","Buddy Boy",1999,"Drama",105,998
"4982","Cleopatra's Second Husband",1998,"Drama",92,240
"4983","College Kickboxers",1991,"Action/Adventure",89,185
"4984","Into My Heart",1998,"Drama",97,312
"4985","End of Days",1999,"Action/Adventure",122,104266
"4986","Game Day",1999,"Comedy",106,205
"4987","Goodnight, Joseph Parker",2004,"Drama",81,1461
"4988","Any Given Sunday",1999,"Drama",162,110692
"4989","The Hi-Line",1999,"Drama",95,345
"4990","The Legend of Bagger Vance",2000,"Drama",126,52789
"4991","Row Your Boat",1999,"Drama",106,302
"4992","Shafted!",2000,"Action/Adventure",90,101
"4993","Sinbad: The Battle of the Dark Knights",1998,"Action/Adventure",90,154
"4994","Thick as Thieves",1999,"Crime",93,2314
"4995","Happiness",1998,"Comedy",134,65435
"4996","Unbowed",1999,"Drama",125,187
"4997","The Vampire's Seduction",1998,"Comedy",55,128
"4998","10 Things I Hate About You",1999,"Comedy",97,289989
"4999","1999",1997,"Comedy",92,249
"5000","At Sachem Farm",1998,"Drama",106,573
"5001","A Bold Affair",1998,"Horror",93,213
"5002","Ceremony",1994,"Horror",74,117
"5003","Lancelot: Guardian of Time",1997,"Action/Adventure",90,136
"5004","Looking for an Echo",2000,"Drama",97,295
"5005","Men Cry Bullets",1998,"Comedy",105,108
"5006","Monkey Business",1998,"Action/Adventure",90,131
"5007","She's Too Tall",1999,"Comedy",90,146
"5008","Sheer Passion",1998,"Horror",93,212
"5009","Strays",1997,"Crime",105,1513
"5010","Stricken",1997,"Drama",88,142
"5011","Waking Up Horton",1998,"Action/Adventure",90,116
"5012","The White Raven",1998,"Action/Adventure",92,369
"5013","All the Pretty Horses",2000,"Drama",116,12778
"5014","Anywhere But Here",1999,"Comedy",114,16675
"5015","Black and White",1999,"Action/Adventure",97,1022
"5016","Broken Vessels",1998,"Drama",90,581
"5017","Coming Soon",1999,"Comedy",96,1537
"5018","Computer Beach Party",1987,"Comedy",97,122
"5019","Cradle Will Rock",1999,"Drama",132,8711
"5020","Fallout",1999,"Action/Adventure",90,345
"5021","HauntedWeen",1991,"Comedy",88,172
"5022","Hollow Gate",1988,"Horror",76,236
"5023","Homo Heights",1998,"Comedy",92,111
"5024","Ice from the Sun",1999,"Sci-Fi/Fantasy",120,578
"5025","Kolobos",1999,"Horror",84,1730
"5026","Freak",1999,"Horror",84,198
"5027","Laughing Boy",2000,"Comedy",82,142
"5028","Let the Devil Wear Black",1999,"Crime",89,586
"5029","The Minus Man",1999,"Crime",111,6251
"5030","Never Been Kissed",1999,"Comedy",107,81742
"5031","Office Space",1999,"Comedy",89,237708
"5032","Pariah",1998,"Action/Adventure",97,793
"5033","Restaurant",1998,"Drama",107,583
"5034","Sand Trap",1998,"Horror",100,153
"5035","Scrapple",1998,"Comedy",93,107
"5036","Subterfuge",1996,"Action/Adventure",95,124
"5037","This Space Between Us",1999,"Comedy",98,159
"5038","Wanted",1998,"Drama",92,122
"5039","Wirey Spindell",1999,"Comedy",101,430
"5040","The Bacchae",2002,"Drama",90,120
"5041","I'm Watching You",1997,"Horror",92,183
"5042","O.K. Garage",1998,"Comedy",90,283
"5043","Secrets of a Chambermaid",2000,"Drama",99,344
"5044","$pent",1999,"Drama",91,142
"5045","The Thomas Crown Affair",1999,"Crime",113,85504
"5046","Flawless",1999,"Comedy",112,17481
"5047","A Good Baby",2000,"Drama",87,315
"5048","Gunfighter",1999,"Western",94,280
"5049","I'll Remember April",2000,"Drama",90,603
"5050","Jawbreaker",1999,"Comedy",87,23752
"5051","Kraa! The Sea Monster",1998,"Sci-Fi/Fantasy",69,316
"5052","Mixing Nia",1998,"Comedy",92,156
"5053","No More Baths",1998,"Comedy",93,234
"5054","Palmer's Pick-Up",1999,"Comedy",108,195
"5055","Paranoia",1998,"Drama",91,183
"5056","Psycho",1998,"Horror",105,45127
"5057","Spring Forward",1999,"Drama",110,1329
"5058","St. Andrew's Girls",2003,"Comedy",76,122
"5059","Stonebrook",1999,"Drama",90,356
"5060","Screwed",2000,"Comedy",81,8321
"5061","Bloodthirsty",1999,"Horror",98,243
"5062","Cold Hearts",1999,"Horror",90,353
"5063","Defying Gravity",1997,"Drama",92,1573
"5064","Edge City",1998,"Drama",101,121
"5065","Entropy",1999,"Comedy",104,1987
"5066","Kiss Toledo Goodbye",1999,"Comedy",96,498
"5067","Legacy",1998,"Action/Adventure",105,175
"5068","Legend of the Mummy",1998,"Horror",96,905
"5069","Life/Drawing",2000,"Comedy",89,561
"5070","My Dog Skip",2000,"Comedy",95,19069
"5071","The Next Best Thing",2000,"Comedy",108,10660
"5072","The Pawn",1999,"Action/Adventure",88,132
"5073","The Pornographer",1999,"Drama",89,760
"5074","Random Hearts",1999,"Drama",133,19730
"5075","Rave",2000,"Drama",85,173
"5076","The Suburbans",1999,"Comedy",81,2176
"5077","Went to Coney Island on a Mission from God... Be Back by Five",1998,"Drama",94,310
"5078","Lima: Breaking the Silence",1999,"Crime",90,153
"5079","Clockstoppers",2002,"Action/Adventure",94,13261
"5080","La Cucaracha",1998,"Comedy",95,333
"5081","Trance",1998,"Horror",95,1385
"5082","One Hell of a Guy",1998,"Comedy",97,249
"5083","River Red",1998,"Drama",104,171
"5084","Sweet and Lowdown",1999,"Comedy",95,31733
"5085","12 Bucks",1998,"Drama",86,133
"5086","Fait Accompli",1998,"Horror",94,270
"5087","The Flintstones in Viva Rock Vegas",2000,"Comedy",90,21224
"5088","The Last Home Run",1996,"Family",93,155
"5089","Mindkiller",1987,"Horror",84,174
"5090","Muppets from Space",1999,"Action/Adventure",87,17739
"5091","The Settlement",1999,"Comedy",101,264
"5092","South Park: Bigger, Longer & Uncut",1999,"Family",81,189862
"5093","The Modern Adventures of Tom Sawyer",1998,"Action/Adventure",92,100
"5094","The Vivero Letter",1999,"Action/Adventure",95,239
"5095","Abilene",1999,"Drama",104,153
"5096","The Auteur Theory",1999,"Comedy",77,246
"5097","Beach Movie",1998,"Comedy",90,353
"5098","Behind Enemy Lines",2001,"Action/Adventure",106,97575
"5099","Bellyfruit",1999,"Drama",86,101
"5100","Civility",2000,"Horror",82,137
"5101","Depraved",1996,"Drama",104,179
"5102","Macbeth in Manhattan",1999,"Drama",97,107
"5103","Relax... It's Just Sex",1998,"Comedy",110,1498
"5104","The Sex Monster",1999,"Comedy",97,2531
"5105","Spark",1998,"Drama",103,217
"5106","Takedown",2000,"Drama",96,6551
"5107","Asunder",1999,"Drama",101,396
"5108","Desperate But Not Serious",2000,"Comedy",94,331
"5109","A Dog of Flanders",1999,"Family",100,864
"5110","Dreamers",1999,"Drama",93,125
"5111","Dudley Do-Right",1999,"Comedy",77,9536
"5112","Final Solution",2001,"Action/Adventure",102,151
"5113","For Which He Stands",1996,"Action/Adventure",88,116
"5114","Four Dogs Playing Poker",2000,"Crime",97,1259
"5115","Trippin'",1999,"Comedy",94,1156
"5116","Guinevere",1999,"Drama",104,2372
"5117","A Gun for Jennifer",1997,"Crime",85,335
"5118","Hot Wax Zombies on Wheels",1999,"Comedy",82,319
"5119","Impostor",2001,"Drama",95,22363
"5120","In Too Deep",1999,"Crime",95,5739
"5121","The Independent",2000,"Comedy",81,1090
"5122","Love Happens",1999,"Comedy",88,121
"5123","The King and I",1999,"Family",87,3630
"5124","Housebound",2000,"Horror",89,188
"5125","The Last Great Ride",2000,"Comedy",89,168
"5126","The Lesser Evil",1998,"Drama",96,668
"5127","The Long Road Home",1999,"Drama",88,154
"5128","Lost Souls",2000,"Drama",97,10316
"5129","Luckytown",2000,"Drama",101,901
"5130","Luminarias",1999,"Comedy",100,547
"5131","Me and Will",1999,"Drama",101,420
"5132","More Dogs Than Bones",2000,"Comedy",92,381
"5133","Nice Guys Sleep Alone",1999,"Romance",92,504
"5134","Other Voices",2000,"Drama",104,256
"5135","Oxygen",1999,"Crime",92,4259
"5136","Passion of Mind",2000,"Drama",105,3127
"5137","The Perfect Tenant",2000,"Horror",93,294
"5138","Blast",2000,"Crime",88,233
"5139","Joe the King",1999,"Crime",93,2572
"5140","The Prodigy",2005,"Crime",120,870
"5141","Punks",2000,"Comedy",91,232
"5142","Red Dirt",2000,"Drama",110,924
"5143","She's All That",1999,"Comedy",95,82824
"5144","Spooky House",2002,"Comedy",106,395
"5145","The Story of Us",1999,"Comedy",95,21313
"5146","Tarantulas and Other Conveniences",1999,"Drama",107,1115
"5147","Train Ride",2000,"Drama",93,233
"5148","Tumbleweeds",1999,"Comedy",102,3211
"5149","Two Shades of Blue",1999,"Horror",103,484
"5150","What Lies Beneath",2000,"Drama",130,116054
"5151","What's the Worst That Could Happen?",2001,"Comedy",94,14842
"5152","Whatever It Takes",1998,"Action/Adventure",101,347
"5153","White Boy",2002,"Drama",90,283
"5154","The Wood",1999,"Comedy",106,8240
"5155","The Young Girl and the Monsoon",1999,"Comedy",90,139
"5156","Steal This Movie",2000,"Drama",107,2179
"5157","Advice from a Caterpillar",1999,"Comedy",90,321
"5158","Club Wild Side",1998,"Drama",101,218
"5159","Dead Tides",1996,"Action/Adventure",100,258
"5160","The Dentist 2",1998,"Horror",100,3303
"5161","The Last Big Thing",1996,"Comedy",98,372
"5162","Mutilations",1986,"Horror",70,138
"5163","My Sweet Killer",1999,"Drama",78,306
"5164","Stardust",1998,"Drama",97,155
"5165","Two Ninas",1999,"Romance",88,980
"5166","Unseen Evil",2001,"Horror",93,261
"5167","Cast Away",2000,"Action/Adventure",143,510788
"5168","Just Looking",1999,"Comedy",97,1400
"5169","Come the Morning",1993,"Drama",60,110
"5170","The Exotic Time Machine",1998,"Sci-Fi/Fantasy",78,216
"5171","Goat on Fire and Smiling Fish",1999,"Comedy",90,2664
"5172","Happy, Texas",1999,"Comedy",98,9471
"5173","A Slipping-Down Life",1999,"Drama",109,1012
"5174","Summer of Sam",1999,"Crime",142,35665
"5175","Trick",1999,"Comedy",89,8095
"5176","Trixie",2000,"Comedy",116,1477
"5177","The White River Kid",1999,"Comedy",99,1108
"5178","Twin Falls Idaho",1999,"Drama",111,3669
"5179","Three Days of Rain",2002,"Drama",98,245
"5180","Barn of the Blood Llama",1997,"Comedy",79,111
"5181","Catfish in Black Bean Sauce",1999,"Comedy",119,441
"5182","The Census Taker",1984,"Comedy",95,166
"5183","Dangerous Invitation",1999,"Horror",95,182
"5184","Die Hard Dracula",1998,"Comedy",88,3201
"5185","Embrace the Darkness",1999,"Horror",93,502
"5186","Bloodsuckers",1997,"Horror",85,228
"5187","Jurassic Park III",2001,"Action/Adventure",92,290954
"5188","Losing Control",1998,"Crime",93,319
"5189","The Operator",2000,"Comedy",102,329
"5190","Runaway Bride",1999,"Comedy",116,91175
"5191","Skippy",2001,"Romance",90,162
"5192","A Table for One",1999,"Drama",110,428
"5193","Vicious Lips",1986,"Horror",84,1404
"5194","The Assault",1998,"Action/Adventure",85,160
"5195","The Book of Stars",1999,"Drama",111,570
"5196","Chill Factor",1999,"Action/Adventure",102,9149
"5197","American Pie",1999,"Comedy",95,370091
"5198","The In Crowd",2000,"Drama",105,4231
"5199","The Debut",2000,"Comedy",94,613
"5200","Net Worth",2001,"Action/Adventure",94,222
"5201","T-Rex: Back to the Cretaceous",1998,"Action/Adventure",45,697
"5202","Valerie Flake",1999,"Drama",90,203
"5203","Blood, Guts, Bullets and Octane",1998,"Action/Adventure",87,1035
"5204","Bringing Out the Dead",1999,"Drama",121,62557
"5205","City of Ghosts",2002,"Crime",116,4947
"5206","Desert Thunder",1999,"Action/Adventure",90,342
"5207","Dirt Merchant",1999,"Comedy",85,235
"5208","Fag Hag",1998,"Comedy",73,166
"5209","The First 9 1/2 Weeks",1998,"Drama",100,591
"5210","Limbo",1999,"Action/Adventure",126,5703
"5211","The Muse",1999,"Comedy",97,10325
"5212","Drive Me Crazy",1999,"Comedy",91,17871
"5213","Stir of Echoes",1999,"Horror",99,73427
"5214","Big Monster on Campus",2000,"Comedy",92,559
"5215","Across the Line",2000,"Drama",99,239
"5216","American Kickboxer 2",1993,"Action/Adventure",93,264
"5217","Berserker",1987,"Horror",85,545
"5218","Doomsday Man",2000,"Drama",89,396
"5219","The Pandora Project",1998,"Action/Adventure",89,440
"5220","Pictures of Baby Jane Doe",1995,"Drama",92,279
"5221","Pipe Dream",2002,"Comedy",91,963
"5222","The Secret Life of Girls",1999,"Comedy",90,373
"5223","Back to Even",1998,"Action/Adventure",95,136
"5224","Big City Blues",1997,"Action/Adventure",94,260
"5225","Dragon Fury",1995,"Action/Adventure",79,169
"5226","The Godson",1998,"Comedy",100,1274
"5227","Highway",2002,"Crime",97,6069
"5228","My Brother the Pig",1999,"Comedy",92,1342
"5229","Nautilus",2000,"Action/Adventure",97,187
"5230","October 22",1998,"Action/Adventure",94,314
"5231","The Others",1997,"Drama",90,109
"5232","Primal Scream",1987,"Sci-Fi/Fantasy",85,125
"5233","River Made to Drown In",1997,"Drama",98,324
"5234","The Runner",1999,"Drama",94,1110
"5235","Saturn",1999,"Crime",94,206
"5236","Hellmaster",1992,"Horror",92,408
"5237","Ringmaster",1998,"Comedy",90,4798
"5238","Black Sea 213",2000,"Action/Adventure",85,137
"5239","Black and White",1999,"Crime",98,5506
"5240","Detroit Rock City",1999,"Comedy",95,34958
"5241","Fight to Win",1987,"Action/Adventure",77,142
"5242","The Giving Tree",2000,"Drama",89,528
"5243","Kill the Man",1999,"Romance",88,600
"5244","The Limey",1999,"Crime",89,29598
"5245","Let's Talk About Sex",1998,"Drama",82,282
"5246","Liberty Heights",1999,"Drama",127,6356
"5247","Lucinda's Spell",1998,"Sci-Fi/Fantasy",105,236
"5248","The Mating Habits of the Earthbound Human",1999,"Comedy",88,5971
"5249","Natural Selection",1999,"Comedy",91,403
"5250","Romeo Must Die",2000,"Action/Adventure",115,66018
"5251","Sinbad: Legend of the Seven Seas",2003,"Family",88,48185
"5252","The Tic Code",1998,"Drama",91,422
"5253","Treehouse Hostage",1999,"Action/Adventure",91,571
"5254","Can't Stop Dancing",1999,"Comedy",90,111
"5255","The Weapons of Death",1981,"Action/Adventure",90,102
"5256","Bones",2001,"Crime",96,6583
"5257","Daddy and Them",2001,"Comedy",101,2155
"5258","Finding Kelly",2000,"Comedy",88,195
"5259","The Legend of Cryin' Ryan",1998,"Action/Adventure",92,114
"5260","The Love Letter",1999,"Comedy",88,4050
"5261","Monkeybone",2001,"Family",93,16489
"5262","Social Intercourse",1998,"Comedy",88,126
"5263","Anna and the King",1999,"Drama",148,35293
"5264","Luminous Motion",1998,"Drama",91,239
"5265","Southern Cross",1999,"Action/Adventure",102,142
"5266","Spirit: Stallion of the Cimarron",2002,"Family",83,63449
"5267","Music of the Heart",1999,"Drama",124,11747
"5268","American Rampage",1989,"Action/Adventure",86,115
"5269","Angel in Training",1999,"Family",89,155
"5270","Death Mask",1998,"Horror",87,171
"5271","The Debtors",1999,"Comedy",90,157
"5272","Desert Saints",2002,"Action/Adventure",88,3066
"5273","Evasive Action",1998,"Action/Adventure",91,407
"5274","The Girls' Room",2000,"Comedy",101,188
"5275","Hellboy",2004,"Action/Adventure",122,302680
"5276","Hijack",1998,"Action/Adventure",94,305
"5277","I Dreamed of Africa",2000,"Action/Adventure",114,4314
"5278","Interceptors",1999,"Action/Adventure",97,771
"5279","Last to Surrender",1999,"Action/Adventure",95,159
"5280","Milo",1998,"Horror",91,927
"5281","Progeny",1998,"Horror",98,1427
"5282","The Sixth Sense",1999,"Drama",107,894385
"5283","Superstar",1999,"Comedy",81,17750
"5284","Talisman",1998,"Horror",72,324
"5285","The Last Marshal",1999,"Action/Adventure",102,323
"5286","Memorial Day",1998,"Action/Adventure",95,179
"5287","Sunburn",1999,"Comedy",89,379
"5288","The Adventures of Sebastian Cole",1998,"Comedy",99,1821
"5289","Babes in Toyland",1997,"Family",74,476
"5290","The Best Man",1999,"Comedy",120,9071
"5291","A Better Way to Die",2000,"Action/Adventure",101,1490
"5292","Can't Be Heaven",1999,"Comedy",94,396
"5293","Chicks, Man",2000,"Comedy",93,103
"5294","La Ciudad (The City)",1998,"Drama",88,350
"5295","The Playaz Court",2000,"Crime",97,149
"5296","Final Voyage",1999,"Action/Adventure",95,682
"5297","Antwone Fisher",2002,"Drama",120,32331
"5298","Fiona",1998,"Drama",85,554
"5299","The Killings at Outpost Zeta",1980,"Sci-Fi/Fantasy",92,275
"5300","The Last Best Sunday",1999,"Drama",103,217
"5301","Road to Revenge",1993,"Action/Adventure",90,279
"5302","Terror Firmer",1999,"Comedy",124,4837
"5303","Tick Tock",2000,"Crime",95,597
"5304","Trans",1998,"Crime",80,402
"5305","Welcome to Hollywood",1998,"Comedy",89,715
"5306","Windhorse",1998,"Drama",97,158
"5307","American Beauty",1999,"Drama",122,1049009
"5308","Black Dawn",1997,"Action/Adventure",102,206
"5309","Fear, Anxiety & Depression",1989,"Comedy",85,663
